fantasy_player_id,round_id,tournament_id,points,starting_xi,minutes_played,goals_scored,assists,clean_sheet,goals_conceded,yellow_cards,red_cards,own_goals,penalty_won,penalty_conceded,penalty_saved,saves,tackles,chances_created,shots_on_target,free_kicks,scouting_bonus
167,2,31,9,0,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
168,1,6,2,0,90,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
168,2,31,8,0,90,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1
173,1,6,8,0,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
173,2,31,12,0,81,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
174,1,6,1,0,29,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
174,2,31,15,0,64,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1
176,2,31,1,0,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
177,1,6,1,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1,6,2,0,62,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
179,2,31,1,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2,31,1,0,26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
183,1,6,2,0,90,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
183,2,31,8,0,90,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
186,1,6,1,0,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
187,1,6,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
187,2,31,1,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
188,1,6,0,0,45,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
188,2,31,7,0,90,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1
190,1,6,3,0,61,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0
190,2,31,8,0,64,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
195,1,13,1,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
196,2,39,1,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
198,1,13,3,0,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
198,2,39,11,0,71,1,0,0,2,0,0,0,0,0,0,0,2,0,1,1,1
199,1,13,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
199,2,39,1,0,90,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
201,1,13,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
201,2,39,1,0,90,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
203,1,13,8,0,76,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1
203,2,39,0,0,90,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0
205,1,13,9,0,90,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1
205,2,39,0,0,90,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0
206,1,13,2,0,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
206,2,39,2,0,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
207,1,13,2,0,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
208,1,13,2,0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,13,1,0,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
209,2,39,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2,39,1,0,58,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
211,1,13,1,0,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
214,1,13,11,0,90,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1
214,2,39,1,0,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
217,1,13,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
217,2,39,4,0,45,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
218,1,13,1,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2,39,1,0,45,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
219,1,13,3,0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2,39,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
220,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0
220,2,27,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
221,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
221,2,27,0,0,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
225,1,3,1,0,90,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
225,2,27,9,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
226,1,3,2,0,61,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
226,2,27,24,0,90,3,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1
227,1,3,8,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
227,2,27,13,0,90,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1
228,1,3,2,0,61,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
228,2,27,7,0,83,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1
229,1,3,2,0,61,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
230,1,3,2,0,76,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,2,27,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
235,2,27,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
238,1,3,1,0,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
238,2,27,8,0,71,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1
240,2,27,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2,27,13,0,33,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
243,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
245,2,27,1,0,57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
246,1,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
247,1,24,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1,24,9,0,90,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
249,1,24,2,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,1,24,2,0,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
252,1,24,1,0,90,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
256,1,24,11,0,89,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
259,1,24,2,0,80,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
261,1,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
262,1,24,2,0,90,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
265,1,24,2,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
266,1,24,7,0,80,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
268,1,24,9,0,18,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
269,1,24,2,0,89,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
270,1,24,2,0,72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
272,1,21,2,0,85,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
273,1,21,7,0,74,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
274,1,21,1,0,90,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
275,1,21,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
276,1,21,1,0,16,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
278,1,21,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
281,1,21,9,0,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
282,1,21,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
