fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
649,1,59,0,1,0,0,0,0,2,1,0,0,0
656,1,31,0,1,0,0,0,0,0,0,0,0,0
657,1,78,0,2,0,0,0,0,1,0,0,0,0
659,2,180,0,10,0,1,1,0,3,0,0,1,0
662,2,31,0,2,0,0,2,0,0,0,1,0,0
663,1,75,0,1,0,0,0,0,2,0,0,0,0
665,2,180,0,10,0,0,1,0,3,0,0,1,0
666,1,90,0,1,0,0,0,0,0,0,0,0,0
667,1,11,0,1,0,0,1,0,0,0,0,0,0
668,1,17,0,1,0,0,1,0,0,0,0,0,0
669,2,114,0,12,1,0,2,0,2,0,1,1,0
670,1,66,0,2,0,0,0,0,0,0,0,0,0
671,2,169,0,18,1,1,1,0,3,1,1,2,0
672,2,168,0,20,2,1,1,0,1,1,3,1,0
673,1,15,0,4,0,1,1,0,0,0,0,0,0
675,1,6,0,1,0,0,1,0,1,0,0,0,0
676,1,6,0,1,0,0,1,0,0,0,0,0,0
677,2,180,0,11,0,0,1,4,0,0,0,1,0
680,1,11,0,1,0,0,1,0,1,0,0,0,0
681,1,90,0,4,0,0,1,0,4,0,0,0,0
682,2,163,0,22,2,0,1,0,4,0,2,2,0
684,2,149,0,10,0,0,1,0,2,0,0,1,0
687,1,2,0,1,0,0,0,0,0,0,0,0,0
688,1,90,0,7,0,1,0,0,2,0,0,1,0
689,1,90,0,3,0,0,0,0,4,0,0,0,0
690,1,90,0,-2,0,0,0,0,3,0,0,0,0
691,1,81,0,1,0,0,0,0,0,0,0,0,0
692,1,90,0,0,0,0,0,0,1,0,0,0,0
698,1,18,0,-1,0,0,0,0,1,0,0,0,0
699,1,72,0,2,0,0,0,0,0,0,0,0,0
701,1,88,0,2,0,0,0,0,2,0,1,0,0
703,1,9,0,1,0,0,0,0,1,0,0,0,0
707,1,1,0,1,0,0,0,0,0,0,0,0,0
708,1,89,0,2,0,0,0,0,1,0,1,0,0
709,1,90,0,0,0,0,0,1,0,0,0,0,0
713,1,6,0,1,0,0,1,0,0,0,0,0,0
714,1,6,0,1,0,0,1,0,0,0,0,0,0
715,2,180,0,4,0,0,0,0,3,0,0,0,0
716,2,161,0,4,0,0,0,0,1,0,0,0,0
718,1,71,0,2,0,0,0,0,1,0,0,0,0
719,2,180,0,4,0,0,0,0,3,0,0,0,0
720,1,69,0,2,0,0,0,0,1,0,0,0,0
723,2,126,0,3,0,0,0,0,1,0,1,0,0
724,2,61,0,2,0,0,2,0,0,0,0,0,0
725,1,13,0,1,0,0,1,0,0,0,1,0,0
726,2,54,0,9,1,0,2,0,0,0,1,1,0
727,1,19,0,1,0,0,1,0,2,0,1,0,0
728,2,40,0,2,0,0,2,0,2,1,0,0,0
730,2,180,0,6,0,0,0,6,0,0,0,0,0
732,2,161,0,3,0,0,0,0,1,0,0,0,1
736,2,180,0,8,0,1,0,0,2,2,1,1,1
737,2,119,0,4,0,0,0,0,4,1,1,0,0
738,1,19,0,1,0,0,1,0,1,0,1,0,0
740,2,180,0,18,0,0,2,0,1,0,0,2,0
741,1,90,0,7,0,0,1,0,0,0,0,1,0
742,2,180,0,18,0,0,2,0,2,0,0,2,0
743,1,90,0,9,0,0,1,0,0,0,0,1,0
744,2,100,0,10,0,0,2,0,1,0,0,1,0
748,2,156,0,12,1,0,2,0,1,0,3,1,0
750,2,163,0,12,1,0,2,0,0,1,3,1,0
751,1,11,0,1,0,0,1,0,0,0,0,0,0
752,2,170,0,9,0,1,2,0,5,1,0,1,0
754,1,14,0,1,0,0,1,0,0,0,0,0,0
757,2,180,0,14,0,0,2,4,0,0,0,0,0
758,2,137,0,5,0,0,2,0,1,0,0,0,1
759,2,166,0,11,0,1,2,0,4,1,0,1,0
762,1,19,0,1,0,0,1,0,0,0,0,0,0
763,1,66,0,3,0,0,1,0,0,0,0,0,0
765,2,26,0,2,0,0,2,0,0,0,0,0,0
773,1,10,0,1,0,0,1,0,0,0,0,0,0
792,2,173,0,21,2,0,1,0,2,1,2,2,0
795,2,180,0,9,0,2,0,0,4,2,0,0,0
796,2,180,0,10,1,0,0,0,0,0,1,0,0
797,2,180,0,2,0,0,0,0,3,0,0,0,1
798,1,9,0,1,0,0,0,0,0,0,0,0,0
802,2,180,0,3,0,0,0,0,3,0,1,0,0
804,2,174,0,21,2,1,0,0,2,1,5,1,0
805,2,115,0,4,0,0,1,0,0,0,2,0,0
806,1,1,0,1,0,0,1,0,0,0,0,0,0
807,2,77,0,16,2,0,0,0,0,0,2,1,0
809,2,180,0,5,0,0,0,8,0,0,0,0,0
812,2,171,0,13,0,2,0,0,3,1,0,1,0
814,2,51,0,2,0,0,1,0,2,0,0,0,0
816,2,129,0,3,0,0,0,0,0,0,0,0,0
817,1,20,0,1,0,0,0,0,2,0,0,0,0
818,2,133,0,3,0,0,0,0,1,0,3,0,1
821,2,180,0,5,0,0,0,0,5,0,0,0,0
822,2,37,0,2,0,0,1,0,1,0,0,0,0
823,2,179,0,5,0,0,0,0,3,2,0,0,0
825,2,6,0,2,0,0,2,0,1,0,1,0,0
826,1,5,0,1,0,0,1,0,0,0,0,0,0
827,2,163,0,4,0,1,0,0,3,1,0,0,0
