referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
glenn-nyberg-se,footymetrics,last_10,10,3.2,0.1,0.4,26.4,32,1,4,264,1,3,0,2026-06-22T11:10:36
glenn-nyberg-se,footymetrics,last_15,15,3.133,0.133,0.333,24.733,47,2,5,371,2,4,1,2026-06-22T11:10:36
glenn-nyberg-se,footymetrics,last_25,15,3.133,0.133,0.333,24.733,47,2,5,371,2,4,1,2026-06-22T11:10:36
alejandro-josé-hernández-hernández-es,footymetrics,last_5,5,4.6,0.0,0.0,26.6,23,0,0,133,0,0,0,2026-06-22T11:10:36
alejandro-josé-hernández-hernández-es,footymetrics,last_10,10,5.1,0.3,0.1,24.8,51,3,1,248,2,1,0,2026-06-22T11:10:36
alejandro-josé-hernández-hernández-es,footymetrics,last_15,15,4.667,0.333,0.467,24.133,70,5,7,362,4,4,0,2026-06-22T11:10:36
alejandro-josé-hernández-hernández-es,footymetrics,last_25,15,4.667,0.333,0.467,24.133,70,5,7,362,4,4,0,2026-06-22T11:10:36
sandro-schärer-ch,footymetrics,last_5,5,4.8,0.0,0.6,26.0,24,0,3,130,0,2,0,2026-06-22T11:10:36
sandro-schärer-ch,footymetrics,last_10,10,5.3,0.2,0.5,25.4,53,2,5,254,2,4,0,2026-06-22T11:10:36
sandro-schärer-ch,footymetrics,last_15,15,4.867,0.2,0.533,25.733,73,3,8,386,3,6,0,2026-06-22T11:10:36
sandro-schärer-ch,footymetrics,last_25,15,4.867,0.2,0.533,25.733,73,3,8,386,3,6,0,2026-06-22T11:10:36
espen-eskås-no,footymetrics,last_5,5,4.8,0.2,0.2,21.8,24,1,1,109,1,1,0,2026-06-22T11:10:36
espen-eskås-no,footymetrics,last_10,10,3.9,0.1,0.4,22.0,39,1,4,220,1,3,0,2026-06-22T11:10:36
espen-eskås-no,footymetrics,last_15,15,3.667,0.067,0.333,22.0,55,1,5,330,1,4,0,2026-06-22T11:10:36
espen-eskås-no,footymetrics,last_25,15,3.667,0.067,0.333,22.0,55,1,5,330,1,4,0,2026-06-22T11:10:36
alireza-faghani-ir,footymetrics,last_5,5,3.4,0.2,0.0,20.2,17,1,0,101,1,0,1,2026-06-22T11:10:36
alireza-faghani-ir,footymetrics,last_10,10,3.0,0.1,0.1,20.0,30,1,1,200,1,1,2,2026-06-22T11:10:36
alireza-faghani-ir,footymetrics,last_15,15,3.333,0.067,0.133,18.733,50,1,2,281,1,2,2,2026-06-22T11:10:36
alireza-faghani-ir,footymetrics,last_25,15,3.333,0.067,0.133,18.733,50,1,2,281,1,2,2,2026-06-22T11:10:36
joão-pedro-silva-pinheiro-pt,footymetrics,last_5,5,4.2,0.4,0.2,27.2,21,2,1,136,2,1,0,2026-06-22T11:10:36
joão-pedro-silva-pinheiro-pt,footymetrics,last_10,10,4.1,0.3,0.2,26.9,41,3,2,269,3,2,0,2026-06-22T11:10:36
joão-pedro-silva-pinheiro-pt,footymetrics,last_15,15,3.533,0.2,0.133,26.4,53,3,2,396,3,2,0,2026-06-22T11:10:36
joão-pedro-silva-pinheiro-pt,footymetrics,last_25,15,3.533,0.2,0.133,26.4,53,3,2,396,3,2,0,2026-06-22T11:10:36
drew-fischer-ca,footymetrics,last_5,5,5.8,0.2,0.2,26.4,29,1,1,132,1,1,0,2026-06-22T11:10:36
drew-fischer-ca,footymetrics,last_10,10,4.9,0.2,0.1,25.2,49,2,1,252,2,1,0,2026-06-22T11:10:36
drew-fischer-ca,footymetrics,last_15,15,5.067,0.133,0.067,26.4,76,2,1,396,2,1,1,2026-06-22T11:10:36
drew-fischer-ca,footymetrics,last_25,15,5.067,0.133,0.067,26.4,76,2,1,396,2,1,1,2026-06-22T11:10:36
amin-mohamed-omar-eg,footymetrics,last_5,5,3.8,0.4,0.6,26.4,19,2,3,132,2,3,0,2026-06-22T11:10:36
amin-mohamed-omar-eg,footymetrics,last_10,10,3.3,0.3,0.6,22.9,33,3,6,229,3,5,0,2026-06-22T11:10:36
amin-mohamed-omar-eg,footymetrics,last_15,15,3.4,0.2,0.533,21.8,51,3,8,327,3,7,0,2026-06-22T11:10:36
amin-mohamed-omar-eg,footymetrics,last_25,15,3.4,0.2,0.533,21.8,51,3,8,327,3,7,0,2026-06-22T11:10:36
yusuke-araki-jp,footymetrics,last_5,5,5.2,0.2,0.4,20.8,26,1,2,104,1,2,0,2026-06-22T11:10:36
