match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes
56,760473,400021468,151635,29.0,2026-06-25 20:00:00+00:00,2026-06-25 16:00:00-04:00,2026-06-25,16:00,group_e,group-stage,CUW,CIV,1895293,43854,,,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",scheduled,0,0,,,,,STATUS_SCHEDULED,
57,760472,400021473,151642,36.0,2026-06-25 23:00:00+00:00,2026-06-25 18:00:00-05:00,2026-06-25,19:00,group_f,group-stage,TUN,NED,43888,43960,,,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",scheduled,0,0,,,,,STATUS_SCHEDULED,
58,760471,400021471,151641,35.0,2026-06-25 23:00:00+00:00,2026-06-25 18:00:00-05:00,2026-06-25,19:00,group_f,group-stage,JPN,SWE,43819,43970,,,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",scheduled,0,0,,,,,STATUS_SCHEDULED,
59,760470,400021459,151630,23.0,2026-06-26 02:00:00+00:00,2026-06-25 19:00:00-07:00,2026-06-25,22:00,group_d,group-stage,TUR,USA,43972,43921,,,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",scheduled,0,0,,,,,STATUS_SCHEDULED,
60,760469,400021461,151629,24.0,2026-06-26 02:00:00+00:00,2026-06-25 19:00:00-07:00,2026-06-25,22:00,group_d,group-stage,PAR,AUS,43928,43976,,,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",scheduled,0,0,,,,,STATUS_SCHEDULED,
61,760474,400021493,151659,54.0,2026-06-26 19:00:00+00:00,2026-06-26 15:00:00-04:00,2026-06-26,15:00,group_i,group-stage,SEN,IRQ,43879,43818,,,bmo,400242032,BMO Field,"BMO Field, Toronto",scheduled,0,0,,,,,STATUS_SCHEDULED,
62,760475,400021489,151660,53.0,2026-06-26 19:00:00+00:00,2026-06-26 15:00:00-04:00,2026-06-26,15:00,group_i,group-stage,NOR,FRA,43961,43946,,,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",scheduled,0,0,,,,,STATUS_SCHEDULED,
63,760479,400021484,151653,48.0,2026-06-27 00:00:00+00:00,2026-06-26 18:00:00-06:00,2026-06-26,20:00,group_h,group-stage,URU,ESP,43930,43969,,,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",scheduled,0,0,,,,,STATUS_SCHEDULED,
64,760478,400021485,151654,47.0,2026-06-27 00:00:00+00:00,2026-06-26 19:00:00-05:00,2026-06-26,20:00,group_h,group-stage,CPV,KSA,43850,43835,,,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",scheduled,0,0,,,,,STATUS_SCHEDULED,
65,760477,400021481,151647,42.0,2026-06-27 03:00:00+00:00,2026-06-26 20:00:00-07:00,2026-06-26,23:00,group_g,group-stage,NZL,BEL,43978,43935,,,bcplace,400248370,BC Place,"BC Place, Vancouver",scheduled,0,0,,,,,STATUS_SCHEDULED,
66,760476,400021479,151648,41.0,2026-06-27 03:00:00+00:00,2026-06-26 20:00:00-07:00,2026-06-26,23:00,group_g,group-stage,EGY,IRN,43855,43817,,,lumen,400216606,Lumen Field,"Lumen Field, Seattle",scheduled,0,0,,,,,STATUS_SCHEDULED,
67,760480,400021509,151677,72.0,2026-06-27 21:00:00+00:00,2026-06-27 17:00:00-04:00,2026-06-27,17:00,group_l,group-stage,CRO,GHA,43938,43860,,,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",scheduled,0,0,,,,,STATUS_SCHEDULED,
68,760485,400021508,151678,71.0,2026-06-27 21:00:00+00:00,2026-06-27 17:00:00-04:00,2026-06-27,17:00,group_l,group-stage,PAN,ENG,43914,43942,,,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",scheduled,0,0,,,,,STATUS_SCHEDULED,
69,760481,400021505,151672,65.0,2026-06-27 23:30:00+00:00,2026-06-27 19:30:00-04:00,2026-06-27,19:30,group_k,group-stage,COL,POR,43926,43963,,,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",scheduled,0,0,,,,,STATUS_SCHEDULED,
70,760482,400021500,151671,66.0,2026-06-27 23:30:00+00:00,2026-06-27 19:30:00-04:00,2026-06-27,19:30,group_k,group-stage,COD,UZB,20014,44005,,,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",scheduled,0,0,,,,,STATUS_SCHEDULED,
71,760484,400021497,151666,59.0,2026-06-28 02:00:00+00:00,2026-06-27 21:00:00-05:00,2026-06-27,22:00,group_j,group-stage,ALG,AUT,43843,43934,,,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",scheduled,0,0,,,,,STATUS_SCHEDULED,
