fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
409241,43850,5.122192621231079,6.463793516159058,5.471604824066162,,2,outfieldPlayer
411174,43914,4.524415493011475,4.98738431930542,5.463138580322266,,1,outfieldPlayer
411176,43914,4.41143798828125,4.825185298919678,5.500190734863281,,1,outfieldPlayer
411226,43971,4.5860724449157715,5.772879123687744,6.99928617477417,,1,outfieldPlayer
411301,43967,,,,5.780770301818848,2,goalkeeper
411367,43948,5.866591930389404,5.135123252868652,5.421220302581787,,2,outfieldPlayer
411375,43969,4.654606580734253,6.843056678771973,6.902873277664185,,2,outfieldPlayer
411443,43935,4.342323541641235,5.986977815628052,6.800611972808838,,2,outfieldPlayer
411624,43835,4.794202566146851,4.736181139945984,5.48639440536499,,2,outfieldPlayer
411644,43817,4.689323425292969,5.226851463317871,6.0323426723480225,,2,outfieldPlayer
411653,43888,4.416537284851074,5.07397985458374,5.395610332489014,,1,outfieldPlayer
411658,43888,4.253732919692993,4.433495759963989,4.99466609954834,,2,outfieldPlayer
411680,43872,4.312763929367065,7.239159107208252,6.494721174240112,,2,outfieldPlayer
411726,43924,5.221206426620483,6.272385120391846,7.241505146026611,,2,outfieldPlayer
416051,43834,4.295135736465454,5.5975353717803955,6.135990858078003,,2,outfieldPlayer
416081,43922,4.353520393371582,5.669242858886719,5.966315269470215,,1,outfieldPlayer
416576,43911,4.968447208404541,5.14560604095459,6.09702205657959,,1,outfieldPlayer
416906,43855,,,,6.511845350265503,2,goalkeeper
416989,43817,5.023341655731201,5.57150936126709,5.884562015533447,,1,outfieldPlayer
418490,43822,5.774066209793091,5.403934955596924,7.67249059677124,,2,outfieldPlayer
418548,43963,4.970488548278809,5.571179389953613,7.14727783203125,,1,outfieldPlayer
418550,43963,4.980599880218506,5.2709641456604,6.466178894042969,,1,outfieldPlayer
418715,43914,4.083504676818848,5.088481426239014,4.6002373695373535,,1,outfieldPlayer
418729,43914,4.59923791885376,6.251894474029541,4.532201290130615,,1,outfieldPlayer
418795,43879,4.530052185058594,5.11417293548584,5.724709510803223,,1,outfieldPlayer
418963,43922,4.025259017944336,6.214529514312744,5.1038923263549805,,1,outfieldPlayer
418975,43922,4.359001636505127,6.801255702972412,5.319485187530518,,1,outfieldPlayer
419003,43927,4.496954917907715,5.3372721672058105,5.165672302246094,,1,outfieldPlayer
419005,43927,5.155928611755371,6.312558650970459,5.310046672821045,,1,outfieldPlayer
419020,43927,5.275592803955078,5.685333490371704,6.890429735183716,,2,outfieldPlayer
419062,43921,4.12344217300415,7.293972492218018,4.445508003234863,,2,outfieldPlayer
419082,43921,4.933241367340088,5.666260719299316,6.058631896972656,,2,outfieldPlayer
419100,43930,8.64155912399292,4.935953378677368,7.476420164108276,,2,outfieldPlayer
419108,43930,4.448673248291016,6.310979604721069,5.820052623748779,,2,outfieldPlayer
419126,43930,4.874013185501099,5.363487720489502,5.845674514770508,,2,outfieldPlayer
419134,43930,4.550622224807739,5.552373170852661,6.884751081466675,,2,outfieldPlayer
419177,43946,4.047618865966797,5.497544288635254,5.015465259552002,,1,outfieldPlayer
419189,43888,4.382091045379639,5.240215301513672,6.071052074432373,,2,outfieldPlayer
419211,43883,4.977478504180908,4.600480556488037,5.0285115242004395,,1,outfieldPlayer
419223,43883,4.673712730407715,5.000387668609619,5.782253742218018,,1,outfieldPlayer
419281,43835,4.7933971881866455,5.201565742492676,6.243213653564453,,2,outfieldPlayer
419291,43835,4.403078079223633,4.472510457038879,5.02030611038208,,2,outfieldPlayer
419302,43835,5.080634593963623,3.8080804347991943,5.940791606903076,,1,outfieldPlayer
419303,43835,4.510109186172485,4.765827536582947,5.796006441116333,,2,outfieldPlayer
419441,43834,4.308868646621704,4.740042090415955,5.310239791870117,,2,outfieldPlayer
419459,43834,,,,5.678687572479248,2,goalkeeper
419463,43834,4.534181356430054,5.116682291030884,6.158160448074341,,2,outfieldPlayer
419473,43834,4.3673930168151855,5.759181499481201,5.705461502075195,,2,outfieldPlayer
419518,43911,4.636023998260498,6.13063383102417,5.994495153427124,,2,outfieldPlayer
419652,43961,7.599602699279785,5.374630451202393,4.958373069763184,,1,outfieldPlayer
419672,43961,6.59366512298584,6.007827281951904,5.681203365325928,,1,outfieldPlayer
419681,43961,5.069652080535889,5.258245944976807,6.261394023895264,,1,outfieldPlayer
422657,43960,4.389559507369995,5.785423040390015,6.667290687561035,,2,outfieldPlayer
422968,43818,4.6941657066345215,4.513732433319092,5.64868688583374,,1,outfieldPlayer
423522,43976,4.7033116817474365,5.2150633335113525,6.116847991943359,,2,outfieldPlayer
423575,43978,5.068660736083984,4.764149188995361,5.913508176803589,,2,outfieldPlayer
423595,43978,4.668401479721069,6.647944450378418,6.01455545425415,,2,outfieldPlayer
423646,43969,5.123953342437744,6.326852798461914,7.450050115585327,,2,outfieldPlayer
423658,43969,4.435575008392334,5.009934425354004,6.0790276527404785,,1,outfieldPlayer
