fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
1015,337389.0,38,Anthony,Ralston,Anthony Ralston,DEF,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""2"": 1}",[]
1016,484073.0,38,Dominic,Hyam,Dominic Hyam,DEF,3.6,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",0,0.0,0.0,0,{},[]
1018,359634.0,38,Grant,Hanley,Grant Hanley,DEF,3.5,True,0.6,"{""1"": 0.5, ""2"": 0.5, ""3"": 0.6}",11,5.5,3.7,2,"{""1"": 9, ""2"": 2}",[]
1019,433191.0,38,Ché,Adams,Ché Adams,FWD,5.4,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",9,4.5,3.0,2,"{""1"": 7, ""2"": 2}",[]
1021,495431.0,38,George,Hirst,George Hirst,FWD,4.6,True,0.0,"{""1"": 0.1, ""2"": 0.1, ""3"": 0}",0,0.0,0.0,0,{},[]
1022,430098.0,38,Lyndon,Dykes,Lyndon Dykes,FWD,4.6,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",2,1.0,0.7,1,"{""1"": 1, ""2"": 1}",[]
1023,520217.0,38,Findlay,Curtis,Findlay Curtis,FWD,4.0,True,0.3,"{""1"": 0.3, ""2"": 0.4, ""3"": 0.3}",0,0.0,0.0,0,"{""1"": 0}",[]
1024,442429.0,38,Liam,Kelly,Liam Kelly,GK,3.7,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
1025,411301.0,38,Angus,Gunn,Angus Gunn,GK,3.6,True,2.0,"{""1"": 1.9, ""2"": 2.3, ""3"": 2}",11,5.5,3.7,2,"{""1"": 9, ""2"": 2}",[]
1027,433787.0,38,Scott,McTominay,Scott McTominay,MID,6.5,True,7.7,"{""1"": 10.7, ""2"": 8.6, ""3"": 7.7}",5,2.5,1.7,2,"{""1"": 3, ""2"": 2}",[]
1028,442434.0,38,Lewis,Ferguson,Lewis Ferguson,MID,4.8,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",7,3.5,2.3,4,"{""1"": 3, ""2"": 4}",[]
1029,332314.0,39,Idrissa,Gueye,Idrissa Gueye,MID,4.9,True,0.3,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.3}",2,2.0,0.7,2,"{""1"": 2}",[]
1030,418798.0,39,Pape Matar,Sarr,Pape Matar Sarr,MID,5.6,True,0.3,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.3}",0,0.0,0.0,0,{},[]
